Training on 18276 movies
18276
----------------------------- NEW MLP INIT -----------------------------
----------------------------------  batch1  -----------------------------------
-----------------------------------  -----------------------------------
-----------------------------------  -----------------------------------
Num learning steps: 3000
Learning rate: 0.05
Frequency of decreasing learning rate: 50
Glorot and Bengio Weights: true
Momentum influence: 0.0
Print status frequency: 10
Dropout OFF
Minibatch OFF
--------- WEIGHTS BEING INITIALIZED RANDOMLY ---------------
Hidden weights: 0.0736876126183612
Output weights: 0.38254602783800296
Lning rate: 0,030865 | Error derivative: 0,00495288 | Err: 0,04843075
Lning rate: 0,030865 | Error derivative: 0,00494000 | Err: 0,04841565
Lning rate: 0,030865 | Error derivative: 0,00492718 | Err: 0,04840062
Lning rate: 0,030865 | Error derivative: 0,00491444 | Err: 0,04838567
Lning rate: 0,030865 | Error derivative: 0,00490177 | Err: 0,04837080
Lning rate: 0,030556 | Error derivative: 0,00488928 | Err: 0,04835614
Lning rate: 0,030556 | Error derivative: 0,00487687 | Err: 0,04834156
Lning rate: 0,030556 | Error derivative: 0,00486453 | Err: 0,04832706
Lning rate: 0,030556 | Error derivative: 0,00485225 | Err: 0,04831264
Lning rate: 0,030556 | Error derivative: 0,00484003 | Err: 0,04829828
Lning rate: 0,030250 | Error derivative: 0,00482800 | Err: 0,04828413
Lning rate: 0,030250 | Error derivative: 0,00481603 | Err: 0,04827006
Lning rate: 0,030250 | Error derivative: 0,00480413 | Err: 0,04825606
Lning rate: 0,030250 | Error derivative: 0,00479229 | Err: 0,04824213
Lning rate: 0,030250 | Error derivative: 0,00478051 | Err: 0,04822827
Lning rate: 0,029948 | Error derivative: 0,00476890 | Err: 0,04821460
Lning rate: 0,029948 | Error derivative: 0,00475736 | Err: 0,04820101
Lning rate: 0,029948 | Error derivative: 0,00474588 | Err: 0,04818748
Lning rate: 0,029948 | Error derivative: 0,00473445 | Err: 0,04817402
Lning rate: 0,029948 | Error derivative: 0,00472309 | Err: 0,04816063
Lning rate: 0,029648 | Error derivative: 0,00471188 | Err: 0,04814742
Lning rate: 0,029648 | Error derivative: 0,00470074 | Err: 0,04813428
Lning rate: 0,029648 | Error derivative: 0,00468966 | Err: 0,04812121
Lning rate: 0,029648 | Error derivative: 0,00467863 | Err: 0,04810819
Lning rate: 0,029648 | Error derivative: 0,00466765 | Err: 0,04809524
Lning rate: 0,029352 | Error derivative: 0,00465683 | Err: 0,04808247
Lning rate: 0,029352 | Error derivative: 0,00464607 | Err: 0,04806977
Lning rate: 0,029352 | Error derivative: 0,00463537 | Err: 0,04805712
Lning rate: 0,029352 | Error derivative: 0,00462471 | Err: 0,04804454
Lning rate: 0,029352 | Error derivative: 0,00461411 | Err: 0,04803201
Lning rate: 0,029058 | Error derivative: 0,00460365 | Err: 0,04801965
Lning rate: 0,029058 | Error derivative: 0,00459326 | Err: 0,04800736
Lning rate: 0,029058 | Error derivative: 0,00458291 | Err: 0,04799512
Lning rate: 0,029058 | Error derivative: 0,00457261 | Err: 0,04798294
Lning rate: 0,029058 | Error derivative: 0,00456236 | Err: 0,04797082
Lning rate: 0,028768 | Error derivative: 0,00455225 | Err: 0,04795886
Lning rate: 0,028768 | Error derivative: 0,00454220 | Err: 0,04794696
Lning rate: 0,028768 | Error derivative: 0,00453220 | Err: 0,04793511
Lning rate: 0,028768 | Error derivative: 0,00452224 | Err: 0,04792332
Lning rate: 0,028768 | Error derivative: 0,00451233 | Err: 0,04791158
Lning rate: 0,028480 | Error derivative: 0,00450255 | Err: 0,04789999
Lning rate: 0,028480 | Error derivative: 0,00449282 | Err: 0,04788847
Lning rate: 0,028480 | Error derivative: 0,00448314 | Err: 0,04787699
Lning rate: 0,028480 | Error derivative: 0,00447351 | Err: 0,04786557
Lning rate: 0,028480 | Error derivative: 0,00446391 | Err: 0,04785419
Lning rate: 0,028195 | Error derivative: 0,00445445 | Err: 0,04784297
Lning rate: 0,028195 | Error derivative: 0,00444504 | Err: 0,04783180
Lning rate: 0,028195 | Error derivative: 0,00443567 | Err: 0,04782068
Lning rate: 0,028195 | Error derivative: 0,00442634 | Err: 0,04780961
Lning rate: 0,028195 | Error derivative: 0,00441705 | Err: 0,04779858
Lning rate: 0,027913 | Error derivative: 0,00440789 | Err: 0,04778770
Lning rate: 0,027913 | Error derivative: 0,00439878 | Err: 0,04777687
Lning rate: 0,027913 | Error derivative: 0,00438970 | Err: 0,04776609
Lning rate: 0,027913 | Error derivative: 0,00438067 | Err: 0,04775536
Lning rate: 0,027913 | Error derivative: 0,00437167 | Err: 0,04774466
Lning rate: 0,027634 | Error derivative: 0,00436279 | Err: 0,04773411
Lning rate: 0,027634 | Error derivative: 0,00435396 | Err: 0,04772361
Lning rate: 0,027634 | Error derivative: 0,00434517 | Err: 0,04771316
Lning rate: 0,027634 | Error derivative: 0,00433641 | Err: 0,04770274
Lning rate: 0,027634 | Error derivative: 0,00432769 | Err: 0,04769237
Lning rate: 0,027358 | Error derivative: 0,00431909 | Err: 0,04768213
Lning rate: 0,027358 | Error derivative: 0,00431053 | Err: 0,04767194
Lning rate: 0,027358 | Error derivative: 0,00430201 | Err: 0,04766179
Lning rate: 0,027358 | Error derivative: 0,00429352 | Err: 0,04765169
--------------    TRAINING FINISHED   --------------
******************************
*    < 0.5       *    37.95 %  *
******************************
*    < 1         *    28.85 %  *
******************************
*    < 2         *    26.43 %  *
******************************
*    >= 2        *    6.77 %  *
******************************
***
2031movies not from the training set:
***
Movie : For the Love of God, rating: 7.3 - predicted 7.2
Movie : Tri barvy: Cerven�, rating: 8.1 - predicted 6.9
Movie : This Week Live, rating: 7.9 - predicted 6.9
Movie : Under Siege, rating: 7.2 - predicted 7.0
Movie : Ah, Wilderness!, rating: 7.0 - predicted 6.4
Movie : Hrdost a sl�va, rating: 6.7 - predicted 7.7
Movie : Showtime Championship Boxing, rating: 7.2 - predicted 6.7
Movie : Music for Middle-Earth, rating: 7.6 - predicted 6.6
Movie : My Uncle Silas, rating: 8.0 - predicted 7.1
Movie : The Last Movie, rating: 6.2 - predicted 6.7
Movie : Cannery Row, rating: 6.6 - predicted 6.3
Movie : Three's Company, rating: 7.5 - predicted 6.6
Movie : The Unseen, rating: 6.2 - predicted 7.2
Movie : Clara Bow: Discovering the It Girl, rating: 7.4 - predicted 7.5
Movie : Harry Potter and the Forbidden Journey, rating: 8.1 - predicted 7.3
Movie : American Rap Stars, rating: 4.5 - predicted 6.0
Movie : Incognito, rating: 6.6 - predicted 7.1
Movie : Behind the Scenes with 'Thunderball', rating: 7.4 - predicted 6.9
Movie : The Gift, rating: 6.8 - predicted 6.8
Movie : Killing Season, rating: 5.4 - predicted 6.7
Movie : Dead End, rating: 7.5 - predicted 6.8
Movie : Tomorrowland, rating: 6.5 - predicted 6.9
Movie : Laughing Sinners, rating: 4.9 - predicted 5.4
Movie : Hilary and Jackie, rating: 7.4 - predicted 7.5
